/*
* Licencia con arreglo a la EUPL, Versión 1.2 o –en cuanto sean aprobadas por la
Comisión Europea– versiones posteriores de la EUPL (la «Licencia»);
* Solo podrá usarse esta obra si se respeta la Licencia.
* Puede obtenerse una copia de la Licencia en:
* http://joinup.ec.europa.eu/software/page/eupl/licence-eupl
* Salvo cuando lo exija la legislación aplicable o se acuerde por escrito, el programa
distribuido con arreglo a la Licencia se distribuye «TAL CUAL», SIN GARANTÍAS NI
CONDICIONES DE NINGÚN TIPO, ni expresas ni implícitas.
* Véase la Licencia en el idioma concreto que rige los permisos y limitaciones que
establece la Licencia.
*/




"pasaje  a","pasaje  a","pasaje a"
"autovía  a-1","autovía  a-1","autovía a-1"
"autovía  a-2","autovía  a-2","autovía a-2"
"autovía  a-3","autovía  a-3","autovía a-3"
"autovía  a-4","autovía  a-4","autovía a-4"
"autovía  a-42","autovía  a-42","autovía a-42"
"autovía  a-5","autovía  a-5","autovía a-5"
"autovía  a-6","autovía  a-6","autovía a-6"
"calle del abad juan catalán","calle del abad juan catalán","calle abad juan catalán","abad juan catalán"
"calle de la abada","calle de la abada","calle abada","abada"
"calle de los abades","calle de los abades","calle abades","abades"
"calle de la abadesa","calle de la abadesa","calle abadesa","abadesa"
"calle de ábalos","calle de ábalos","calle ábalos","ábalos"
"carretera  abandonada","carretera  abandonada","carretera abandonada"
"calle del abanico","calle del abanico","calle abanico","abanico"
"calle de abantos","calle de abantos","calle abantos","abantos"
"calle del abardero","calle del abardero","calle abardero","abardero"
"calle de abárzuza","calle de abárzuza","calle abárzuza","abárzuza"
"calle de abay","calle de abay","calle abay","abay"
"calle de abdón terradas","calle de abdón terradas","calle abdón terradas","abdón terradas"
"calle del abedul","calle del abedul","calle abedul","abedul"
"calle de abegondo","calle de abegondo","calle abegondo","abegondo"
"calle del abejaruco","calle del abejaruco","calle abejaruco","abejaruco"
"calle de la abejuela","calle de la abejuela","calle abejuela","abejuela"
"calle de abel","calle de abel","calle abel","abel"
"calle de las abelias","calle de las abelias","calle abelias","abelias"
"calle de abella","calle de abella","calle abella","abella"
"calle de abertura","calle de abertura","calle abertura","abertura"
"calle del abetal","calle del abetal","calle abetal","abetal"
"calle del abeto","calle del abeto","calle abeto","abeto"
"calle de abizanda","calle de abizanda","calle abizanda","abizanda"
"calle del abolengo","calle del abolengo","calle abolengo","abolengo"
"avenida de abrantes","avenida de abrantes","avenida abrantes"
"calle de abril","calle de abril","calle abril","abril"
"calle de abtao","calle de abtao","calle abtao","abtao"
"ronda de la abubilla","ronda de la abubilla","ronda abubilla"
"calle de abundio garcía román","calle de abundio garcía román","calle abundio garcía román","abundio garcía román"
"calle de abuñol","calle de abuñol","calle abuñol","abuñol"
"paseo de las acacias","paseo de las acacias","paseo acacias"
"calle de la academia","calle de la academia","calle academia","academia"
"calle de academos","calle de academos","calle academos","academos"
"calle de acamar","calle de acamar","calle acamar","acamar"
"calle del acantilado","calle del acantilado","calle acantilado","acantilado"
"calle de la acantita","calle de la acantita","calle acantita","acantita"
"calle del acanto","calle del acanto","calle acanto","acanto"
"carretera de acceso a la estación de autobuses de la e.m.t.","carretera de acceso a la estación de autobuses de la e.m.t.","carretera acceso a la estación de autobuses de la e.m.t."
"carretera de acceso a la estación de o'donnell","carretera de acceso a la estación de o'donnell","carretera acceso a la estación de o'donnell"
"calle de acebedo","calle de acebedo","calle acebedo","acebedo"
"calle de acebes","calle de acebes","calle acebes","acebes"
"calle del acebo","calle del acebo","calle acebo","acebo"
"calle del acebuche","calle del acebuche","calle acebuche","acebuche"
"camino de los aceiteros","camino de los aceiteros","camino aceiteros"
"calle de acentejo","calle de acentejo","calle acentejo","acentejo"
"calle de acereiro","calle de acereiro","calle acereiro","acereiro"
"calle de aceuchal","calle de aceuchal","calle aceuchal","aceuchal"
"plaza de la achicoria","plaza de la achicoria","plaza achicoria"
"calle de achuri","calle de achuri","calle achuri","achuri"
"calle de aconcagua","calle de aconcagua","calle aconcagua","aconcagua"
"calle del acónito","calle del acónito","calle acónito","acónito"
"calle de la acuarela","calle de la acuarela","calle acuarela","acuarela"
"calle de acuario","calle de acuario","calle acuario","acuario"
"calle del acueducto","calle del acueducto","calle acueducto","acueducto"
"calle del acueducto de segovia","calle del acueducto de segovia","calle acueducto de segovia","acueducto de segovia"
"calle del acuerdo","calle del acuerdo","calle acuerdo","acuerdo"
"calle de adam smith","calle de adam smith","calle adam smith","adam smith"
"calle de adanero","calle de adanero","calle adanero","adanero"
"calle de adela balboa","calle de adela balboa","calle adela balboa","adela balboa"
"calle de las adelfas","calle de las adelfas","calle adelfas","adelfas"
"calle de adelina patti","calle de adelina patti","calle adelina patti","adelina patti"
"calle de ademuz","calle de ademuz","calle ademuz","ademuz"
"calle de adolfo bioy casares","calle de adolfo bioy casares","calle adolfo bioy casares","adolfo bioy casares"
"calle de adolfo marsillach","calle de adolfo marsillach","calle adolfo marsillach","adolfo marsillach"
"aeropuerto de adolfo suárez madrid barajas","aeropuerto de adolfo suárez madrid barajas","aeropuerto adolfo suárez madrid barajas"
"calle de adonis","calle de adonis","calle adonis","adonis"
"calle de adora","calle de adora","calle adora","adora"
"calle de adra","calle de adra","calle adra","adra"
"pasaje de adra","pasaje de adra","pasaje adra"
"calle de adrada de haza","calle de adrada de haza","calle adrada de haza","adrada de haza"
"calle de adrián andrés","calle de adrián andrés","calle adrián andrés","adrián andrés"
